,0,id,frequency
65,m.02kc008 food.food.nutrients..food.nutrition_fact.nutrient,65,299
66,m.0838f food.food.nutrients..food.nutrition_fact.nutrient,66,483
67,m.0h1wg food.food.nutrients..food.nutrition_fact.nutrient,67,309
68,m.09gwd food.food.nutrients..food.nutrition_fact.nutrient,68,308
69,m.0hkwr food.food.nutrients..food.nutrition_fact.nutrient,69,327
70,m.061xhr food.food.nutrients..food.nutrition_fact.nutrient,70,113
71,m.025sqz8 food.food.nutrients..food.nutrition_fact.nutrient,71,474
72,m.08t7bd food.food.nutrients..food.nutrition_fact.nutrient,72,49
73,m.01n78x food.food.nutrients..food.nutrition_fact.nutrient,73,427
74,m.02kcv4x food.food.nutrients..food.nutrition_fact.nutrient,74,417
75,m.025rw19 food.food.nutrients..food.nutrition_fact.nutrient,75,482
76,m.0h1tz food.food.nutrients..food.nutrition_fact.nutrient,76,307
77,m.05gh50 food.food.nutrients..food.nutrition_fact.nutrient,77,425
78,m.06jry food.food.nutrients..food.nutrition_fact.nutrient,78,466
79,m.025s0s0 food.food.nutrients..food.nutrition_fact.nutrient,79,471
80,m.09pbb food.food.nutrients..food.nutrition_fact.nutrient,80,298
81,m.021y6nd common.topic.notable_types,81,19
82,m.0jsg4j common.topic.notable_types,82,817
83,m.02jx1 people.person.nationality,83,549
84,m.02jknp people.person.profession,84,696
85,m.01jdpf film.person_or_entity_appearing_in_film.films..film.personal_film_appearance.type_of_appearance,85,45
86,m.07ssc people.person.nationality,86,586
87,m.01gzdk user.alexbl.honorary_title.titled_person.honorary_title..user.alexbl.honorary_title.honorary_title_holding.honorary_title,87,48
88,m.02w7gg people.person.ethnicity,88,137
89,m.0np9r people.person.profession,89,803
90,m.02h40lc film.film.language,90,2120
91,m.07s9rl0 film.film.genre,91,1581
92,m.0jsg2m common.topic.notable_types,92,2286
93,m.09c7w0 film.film.country,93,1763
94,m.029j_ film.film.release_date_s..film.film_regional_release_date.film_release_distribution_medium,94,1886
95,m.07s9rl0 media_common.netflix_title.netflix_genres,95,376
96,m.02nxhr film.film.release_date_s..film.film_regional_release_date.film_release_distribution_medium,96,97
97,m.09nqf film.film.estimated_budget..measurement_unit.dated_money_value.currency,97,1479
98,m.03bwzr4 education.educational_institution.students_graduates..education.education.degree,98,282
99,m.09nqf education.university.domestic_tuition..measurement_unit.dated_money_value.currency,99,309
100,m.03z19 organization.non_profit_organization.registered_with..organization.non_profit_registration.registering_agency,100,125
101,m.01rs41 education.educational_institution.school_type,101,105
102,m.02_xgp2 education.educational_institution.students_graduates..education.education.degree,102,276
103,m.060c4 organization.organization.leadership..organization.leadership.role,103,437
104,m.019v9k education.educational_institution.students_graduates..education.education.degree,104,382
105,m.016t_3 education.educational_institution.students_graduates..education.education.degree,105,293
106,m.01y2hnl common.topic.notable_types,106,746
107,m.09nqf business.business_operation.operating_income..measurement_unit.dated_money_value.currency,107,416
108,m.01ysy9 education.educational_institution.students_graduates..education.education.degree,108,41
109,m.09nqf business.business_operation.assets..measurement_unit.dated_money_value.currency,109,359
110,m.09nqf business.business_operation.revenue..measurement_unit.dated_money_value.currency,110,440
111,m.09c7w0 organization.organization.headquarters..location.mailing_address.country,111,658
112,m.0355pl soccer.football_team.league..soccer.football_league_participation.league,112,31
113,m.01xljsc common.topic.notable_types,113,527
114,m.03c0w1m sports.sports_team.roster..sports.sports_team_roster.position,114,7
115,m.083jv sports.sports_team.colors,115,231
116,m.0dgrmp sports.sports_team.roster..sports.sports_team_roster.position,116,490
117,m.02_j1w sports.sports_team.roster..sports.sports_team_roster.position,117,524
118,m.02vx4 sports.sports_team.sport,118,333
119,m.02sdk9v sports.sports_team.roster..sports.sports_team_roster.position,119,524
120,m.02nzb8 sports.sports_team.roster..sports.sports_team_roster.position,120,522
121,m.01g5v sports.sports_team.colors,121,99
122,m.01mp common.topic.notable_types,122,317
123,m.0hqc2 location.country.form_of_government,123,16
124,m.01q20 location.country.form_of_government,124,77
125,m.038hg sports.sports_team.colors,125,42
126,m.0fnk7q soccer.football_team.league..soccer.football_league_participation.league,126,22
127,m.04mkbj sports.sports_team.colors,127,2
128,m.02hfkyw common.topic.notable_types,128,10
129,m.01yjgy people.person.religion,129,6
130,m.01pxg people.person.profession,130,63
131,m.06q2q people.person.profession,131,227
132,m.09j9h people.person.profession,132,71
133,m.077qn people.person.nationality,133,31
134,m.0g6g7 people.person.ethnicity,134,6
135,m.05snw people.person.profession,135,144
136,m.03sbb people.person.profession,136,51
137,m.016fly people.person.profession,137,153
138,m.01c72t people.person.profession,138,359
139,m.04l1gwb people.person.profession,139,245
140,m.01c8w0 people.person.profession,140,73
141,m.0l14qv music.group_member.instruments_played,141,57
142,m.0hzlz people.person.nationality,142,28
143,m.0kpysb common.topic.notable_types,143,144
144,m.0bkj86 education.educational_institution.students_graduates..education.education.degree,144,287
145,m.07tf8 education.educational_institution.school_type,145,77
146,m.02l6h education.university.domestic_tuition..measurement_unit.dated_money_value.currency,146,45
147,m.059j2 organization.organization.headquarters..location.mailing_address.country,147,24
148,m.0jsg3d common.topic.notable_types,148,369
149,m.0dgd_ people.person.profession,149,74
150,m.01pb34 film.actor.film..film.performance.special_performance_type,150,137
151,m.0kpv25 common.topic.notable_types,151,53
152,m.0d060g people.person.nationality,152,179
153,m.01bl8s people.person.spouse_s..people.marriage.type_of_union,153,13
154,m.03_gx people.person.religion,154,288
155,m.02pprs music.group_member.membership..music.group_membership.role,155,1
156,m.017_qw music.artist.genre,156,91
157,m.041rx people.person.ethnicity,157,435
158,m.0sydc business.business_operation.industry,158,12
159,m.06qd3 organization.organization.headquarters..location.mailing_address.country,159,28
160,m.01xrznl common.topic.notable_types,160,49
161,m.02hwhyv base.schemastaging.organization_extra.phone_number..base.schemastaging.phone_sandbox.service_language,161,17
162,m.03w5xm base.schemastaging.organization_extra.phone_number..base.schemastaging.phone_sandbox.contact_category,162,388
163,m.02p0tjr food.food.nutrients..food.nutrition_fact.nutrient,163,348
164,m.013__p food.food.nutrients..food.nutrition_fact.nutrient,164,33
165,m.0f4k5 food.food.nutrients..food.nutrition_fact.nutrient,165,102
166,m.075pwf food.food.nutrients..food.nutrition_fact.nutrient,166,73
167,m.02nb4z food.food.nutrients..food.nutrition_fact.nutrient,167,38
168,m.01hslg food.food.nutrients..food.nutrition_fact.nutrient,168,25
169,m.04y6pkv food.food.nutrients..food.nutrition_fact.nutrient,169,33
170,m.09gvd food.food.nutrients..food.nutrition_fact.nutrient,170,458
171,m.01_7l food.food.nutrients..food.nutrition_fact.nutrient,171,22
172,m.02kd0rh food.food.nutrients..food.nutrition_fact.nutrient,172,397
173,m.08dmjm food.food.nutrients..food.nutrition_fact.nutrient,173,30
174,m.014d7f food.food.nutrients..food.nutrition_fact.nutrient,174,81
175,m.0f4l5 food.food.nutrients..food.nutrition_fact.nutrient,175,82
176,m.01w_3 food.food.nutrients..food.nutrition_fact.nutrient,176,94
177,m.0d05w3 people.person.nationality,177,350
178,m.0dxtg people.person.profession,178,845
179,m.01qhm_ people.person.ethnicity,179,55
180,m.09nqf base.schemastaging.person_extra.net_worth..measurement_unit.dated_money_value.currency,180,585
181,m.0dypbr people.person.profession,181,34
182,m.01xrzlq common.topic.notable_types,182,286
183,m.018gz8 people.person.profession,183,153
184,m.038723 people.person.ethnicity,184,12
185,m.02h40lc film.actor.dubbing_performances..film.dubbing_performance.language,185,79
186,m.09vc4s people.person.ethnicity,186,46
187,m.01j17q cvg.computer_videogame.cvg_genre,187,7
188,m.02hjn4 cvg.computer_videogame.gameplay_modes,188,23
189,m.025zzc cvg.computer_videogame.cvg_genre,189,16
190,m.02ntfj cvg.computer_videogame.cvg_genre,190,9
191,m.021y6mf common.topic.notable_types,191,23
192,m.0hcr film.film.genre,192,279
193,m.01kyvx film.film.starring..film.performance.special_performance_type,193,125
194,m.03_3d film.film.runtime..film.film_cut.film_release_region,194,14
195,m.03_3d film.film.country,195,302
196,m.0jxy film.film.genre,196,128
197,m.01jfsb film.film.genre,197,773
198,m.02kdv5l film.film.genre,198,875
199,m.03_9r film.film.language,199,342
200,m.02h40lc film.film.dubbing_performances..film.dubbing_performance.language,200,96
201,m.0kpv1t common.topic.notable_types,201,67
202,m.0d05w3 film.film.country,202,198
203,m.06f32 film.film.country,203,40
204,m.03h64 film.film.country,204,395
205,m.03115z film.film.language,205,67
206,m.06cvj film.film.genre,206,177
207,m.0653m film.film.language,207,369
208,m.02kl65p common.topic.notable_types,208,455
209,m.09nqf business.business_operation.current_assets..measurement_unit.dated_money_value.currency,209,218
210,m.09nqf business.business_operation.retained_earnings..measurement_unit.dated_money_value.currency,210,232
211,m.09nqf business.business_operation.current_liabilities..measurement_unit.dated_money_value.currency,211,219
212,m.09nqf business.business_operation.cash..measurement_unit.dated_money_value.currency,212,196
213,m.07vr92g common.topic.notable_types,213,302
214,m.0dq_5 organization.organization.leadership..organization.leadership.role,214,582
215,m.029j_ film.film.runtime..film.film_cut.type_of_film_cut,215,30
216,m.012w70 film.film.language,216,282
217,m.012w70 media_common.netflix_title.netflix_genres,217,171
218,m.05p553 film.film.genre,218,852
219,m.09c7w0 film.film.runtime..film.film_cut.film_release_region,219,135
220,m.03h64 media_common.netflix_title.netflix_genres,220,202
221,m.0lsxr film.film.genre,221,438
222,m.0266qtf education.educational_institution.students_graduates..education.education.degree,222,19
223,m.09nqf education.university.local_tuition..measurement_unit.dated_money_value.currency,223,275
224,m.05jxkf education.educational_institution.school_type,224,352
225,m.03mkk4 education.educational_institution.students_graduates..education.education.degree,225,102
226,m.014mlp education.educational_institution.students_graduates..education.education.degree,226,480
227,m.04zx3q1 education.educational_institution.students_graduates..education.education.degree,227,284
228,m.083jv education.educational_institution.colors,228,159
229,m.02mjs7 education.educational_institution.students_graduates..education.education.degree,229,63
230,m.0g26h education.educational_institution.students_graduates..education.education.degree,230,1
231,m.02h4rq6 education.educational_institution.students_graduates..education.education.degree,231,418
232,m.07s6fsf education.educational_institution.students_graduates..education.education.degree,232,177
233,m.01rr_d education.educational_institution.students_graduates..education.education.degree,233,177
234,m.09nqf organization.endowed_organization.endowment..measurement_unit.dated_money_value.currency,234,291
235,m.0dxtw film.film.other_crew..film.film_crew_gig.film_crew_role,235,443
236,m.01pvkk film.film.other_crew..film.film_crew_gig.film_crew_role,236,479
237,m.082gq film.film.genre,237,203
238,m.064_8sq film.film.language,238,326
239,m.082fr film.film.country,239,15
240,m.04306rv media_common.netflix_title.netflix_genres,240,14
241,m.0345h film.film.country,241,194
242,m.03yvvsn film.film.other_crew..film.film_crew_gig.film_crew_role,242,1151
243,m.01jfsb media_common.netflix_title.netflix_genres,243,232
244,m.02f4z film.film.runtime..film.film_cut.type_of_film_cut,244,68
245,m.0345h film.film.runtime..film.film_cut.film_release_region,245,37
246,m.02hsh8d film.film.other_crew..film.film_crew_gig.film_crew_role,246,620
247,m.064_8sq people.person.languages,247,91
248,m.01xpjyd common.topic.notable_types,248,23
249,m.0345h organization.organization.headquarters..location.mailing_address.country,249,42
250,m.09ggk education.educational_institution.colors,250,34
251,m.0fjrb education.educational_institution.school_type,251,72
252,m.01f9r0 film.film.genre,252,20
253,m.01r2l film.film.language,253,40
254,m.0chghy film.film.country,254,63
255,m.021ynvf common.topic.notable_types,255,62
256,m.0h9c people.person.profession,256,84
257,m.02h666v people.person.profession,257,14
258,m.03zbp0y common.topic.notable_types,258,29
259,m.0f8l9c film.film.country,259,270
260,m.07zrf film.film.language,260,16
261,m.0459q4 film.film.language,261,237
262,m.0653m media_common.netflix_title.netflix_genres,262,186
263,m.06n90 film.film.genre,263,400
264,m.0hc1z film.film.genre,264,4
265,m.01xlj26 common.topic.notable_types,265,1344
266,m.03_3d music.release.region,266,54
267,m.01www music.release.format,267,1914
268,m.0d05w3 music.release.region,268,395
269,m.01xryvm common.topic.notable_types,269,61
270,m.02xlf book.book.genre,270,49
271,m.02h40lc book.written_work.original_language,271,52
272,m.0dwly book.book.genre,272,27
273,m.02_1z2f common.topic.notable_types,273,62
274,m.027rn people.person.nationality,274,22
275,m.02wszf baseball.baseball_player.position_s,275,15
276,m.02bm_x baseball.baseball_player.bats,276,125
277,m.09nqf base.schemastaging.athlete_extra.salary..base.schemastaging.athlete_salary.currency,277,523
278,m.03c6sl9 baseball.baseball_player.batting_stats..baseball.batting_statistics.season,278,200
279,m.018jz sports.pro_athlete.sports_played_professionally..sports.pro_sports_played.sport,279,232
280,m.04n36qk baseball.baseball_player.lifetime_batting_statistics..baseball.lifetime_batting_statistics.last_statistics_season,280,210
281,m.0285r5d baseball.baseball_player.batting_stats..baseball.batting_statistics.season,281,194
282,m.02h664g people.person.profession,282,229
283,m.02rsl1 baseball.baseball_player.position_s,283,26
284,m.02wszf sports.pro_athlete.teams..sports.sports_team_roster.position,284,56
285,m.025698c common.topic.notable_types,285,225
286,m.01sdzg baseball.baseball_player.position_s,286,31
287,m.01xljr7 common.topic.notable_types,287,1083
288,m.02vx4 sports.pro_athlete.sports_played_professionally..sports.pro_sports_played.sport,288,1090
289,m.0gl2ny2 people.person.profession,289,937
290,m.02sdk9v soccer.football_player.position_s,290,406
291,m.02sdk9v sports.pro_athlete.teams..sports.sports_team_roster.position,291,336
292,m.06srk people.person.nationality,292,9
293,m.06f32 music.release.region,293,1162
294,m.03h64 music.release.region,294,686
295,m.0d05w3 organization.organization.headquarters..location.mailing_address.country,295,31
296,m.03d49 food.food.nutrients..food.nutrition_fact.nutrient,296,116
297,m.01f5cb food.food.nutrients..food.nutrition_fact.nutrient,297,44
298,m.0fmkp food.food.nutrients..food.nutrition_fact.nutrient,298,28
299,m.07zqy food.food.nutrients..food.nutrition_fact.nutrient,299,336
300,m.0dcfv food.food.nutrients..food.nutrition_fact.nutrient,300,113
301,m.07_hy food.ingredient.incompatible_with_dietary_restrictions,301,83
302,m.0d9t0 food.food.nutrients..food.nutrition_fact.nutrient,302,110
303,m.03yw5hv common.topic.notable_types,303,139
304,m.01xxxsy common.topic.notable_types,304,57
305,m.01l849 sports.sports_team.colors,305,27
306,m.02rnmb sports.sports_team.colors,306,24
307,m.01z9v6 sports.sports_team.roster..sports.sports_team_roster.position,307,42
308,m.018jz sports.sports_team.sport,308,42
309,m.02wszf sports.sports_team.roster..sports.sports_team_roster.position,309,42
310,m.02lyr4 sports.sports_team.roster..sports.sports_team_roster.position,310,42
311,m.0256985 common.topic.notable_types,311,12
312,m.028c_8 sports.sports_team.roster..sports.sports_team_roster.position,312,42
313,m.02md_2 sports.sports_team.coaches..sports.sports_team_coach_tenure.position,313,38
314,m.02nrqx2 common.topic.notable_types,314,219
315,m.06by7 music.artist.genre,315,401
316,m.09nqf location.statistical_region.gdp_nominal_per_capita..measurement_unit.dated_money_value.currency,316,227
317,m.0j6vrmy location.statistical_region.population..measurement_unit.dated_integer.source,317,214
318,m.0731l2 location.location.time_zones,318,29
319,m.064_8sq location.country.official_language,319,39
320,m.02_j1w sports.pro_athlete.teams..sports.sports_team_roster.position,320,300
321,m.02_j1w soccer.football_player.position_s,321,355
322,m.01nv4h base.schemastaging.athlete_extra.salary..base.schemastaging.athlete_salary.currency,322,178
323,m.02_j1w base.x2010fifaworldcupsouthafrica.world_cup_participant.world_cup_team..base.x2010fifaworldcupsouthafrica.current_world_cup_squad.position,323,121
324,m.09nqf location.statistical_region.minimum_wage..measurement_unit.recurring_money_value.currency,324,52
325,m.02hczc location.location.time_zones,325,134
326,m.0kpys4 common.topic.notable_types,326,50
327,m.07t58 government.political_district.representatives..government.government_position_held.governmental_body,327,50
328,m.09c7w0 government.political_district.representatives..government.government_position_held.jurisdiction_of_office,328,50
329,m.07f57s location.location.time_zones,329,98
330,m.03mxv location.statistical_region.minimum_wage..measurement_unit.recurring_money_value.frequency,330,51
331,m.09c7w0 base.locations.states_and_provences.country,331,50
332,m.09nqf location.statistical_region.gdp_nominal..measurement_unit.dated_money_value.currency,332,276
333,m.0j749 government.governmental_jurisdiction.official_symbols..location.location_symbol_relationship.Kind_of_symbol,333,51
334,m.01xs05k common.topic.notable_types,334,86
335,m.09c7w0 geography.river.basin_countries,335,7
336,m.01xrvrv common.topic.notable_types,336,19
337,m.0jgqg computer.software.languages_used,337,20
338,m.0chnf computer.software.compatible_oses..computer.software_compatibility.operating_system,338,10
339,m.0511f computer.software.compatible_oses..computer.software_compatibility.operating_system,339,5
340,m.085j0 computer.software.compatible_oses..computer.software_compatibility.operating_system,340,8
341,m.04r_8 computer.software.compatible_oses..computer.software_compatibility.operating_system,341,23
342,m.06d4fz computer.software.compatible_oses..computer.software_compatibility.operating_system,342,2
343,m.067xd computer.software.license,343,28
344,m.05wkw computer.software.software_genre,344,2
345,m.055yr computer.software.compatible_oses..computer.software_compatibility.operating_system,345,22
346,m.01xxxtp common.topic.notable_types,346,34
347,m.03rt9 people.person.nationality,347,68
348,m.03bkbh people.person.ethnicity,348,57
349,m.0222qb people.person.ethnicity,349,55
350,m.01p7s6 people.person.ethnicity,350,44
351,m.0154j people.person.nationality,351,24
352,m.02nzb8 sports.pro_athlete.teams..sports.sports_team_roster.position,352,421
353,m.02nzb8 base.x2010fifaworldcupsouthafrica.world_cup_participant.world_cup_team..base.x2010fifaworldcupsouthafrica.current_world_cup_squad.position,353,122
354,m.02nzb8 soccer.football_player.position_s,354,559
355,m.01c44b film.film.language,355,8
356,m.02xhgwq people.person.profession,356,327
357,m.01xryvt common.topic.notable_types,357,558
358,m.03bwzr4 people.person.education..education.education.degree,358,35
359,m.02h65n3 common.topic.notable_types,359,171
360,m.02hcv8 location.location.time_zones,360,564
361,m.0jbk9 location.hud_foreclosure_area.hhuniv..measurement_unit.dated_integer.source,361,1362
362,m.01m9 common.topic.notable_types,362,879
363,m.0jbk9 location.hud_foreclosure_area.estimated_number_of_mortgages..measurement_unit.dated_integer.source,363,1362
364,m.0jbk9 location.hud_foreclosure_area.total_residential_addresses..measurement_unit.dated_integer.source,364,1362
365,m.0jbk9 location.hud_foreclosure_area.total_90_day_vacant_residential_addresses..measurement_unit.dated_integer.source,365,1362
366,m.0jbk9 location.hud_foreclosure_area.estimated_number_foreclosures..measurement_unit.dated_integer.source,366,1362
367,m.0kpv11 common.topic.notable_types,367,157
368,m.06qd3 people.person.nationality,368,115
369,m.02dsz people.person.profession,369,41
370,m.07_jd base.eating.practicer_of_diet.diet,370,116
371,m.0g2c8 award.hall_of_fame_inductee.hall_of_fame_inductions..award.hall_of_fame_induction.hall_of_fame,371,69
372,m.0kpv1m common.topic.notable_types,372,815
373,m.06cqb music.artist.genre,373,28
374,m.039v1 people.person.profession,374,163
375,m.0qjfl award.hall_of_fame_inductee.hall_of_fame_inductions..award.hall_of_fame_induction.hall_of_fame,375,19
376,m.09jwl people.person.profession,376,604
377,m.03nh9 celebrities.celebrity.sexual_orientation..celebrities.sexual_orientation_phase.sexual_orientation,377,39
378,m.03_r3 people.person.nationality,378,13
379,m.0nbcg people.person.profession,379,425
380,m.0342h music.group_member.membership..music.group_membership.role,380,112
381,m.02k54 people.person.nationality,381,17
382,m.03h64 people.person.nationality,382,208
383,m.01f2y9 royalty.chivalric_order_member.belongs_to_order..royalty.chivalric_order_membership.order,383,20
384,m.0d7wh people.person.ethnicity,384,38
385,m.03j41y_ common.topic.notable_types,385,313
386,m.01lp8 people.person.religion,386,83
387,m.08gd_r user.alexbl.honorary_title.titled_person.honorary_title..user.alexbl.honorary_title.honorary_title_holding.honorary_title,387,7
388,m.07dzf people.person.nationality,388,1
389,m.03bx017 people.person.profession,389,16
390,m.0q410p1 people.person.profession,390,12
391,m.02_xgp2 people.person.education..education.education.degree,391,113
392,m.04fnrhx common.topic.notable_types,392,88
393,m.024pcx people.person.nationality,393,16
394,m.0chghy government.political_district.representatives..government.government_position_held.jurisdiction_of_office,394,7
395,m.0fkx3 government.governmental_jurisdiction.governing_officials..government.government_position_held.basic_title,395,17
396,m.0p5vf government.governmental_jurisdiction.governing_officials..government.government_position_held.basic_title,396,35
397,m.02h6fbs people.person.profession,397,257
398,m.02nzlrk tv.tv_program.tv_producer..tv.tv_producer_term.producer_type,398,117
399,m.01xrzk0 common.topic.notable_types,399,494
400,m.02h40lc tv.tv_program.languages,400,185
401,m.0ckd1 tv.tv_program.tv_producer..tv.tv_producer_term.producer_type,401,118
402,m.07s9rl0 tv.tv_program.genre,402,257
403,m.0174nj music.release.format,403,59
404,m.01y2jks common.topic.notable_types,404,19
405,m.01x32j1 base.schemastaging.nutrient_extra.food_concepts..base.schemastaging.nutrition_information.nutrient_amount_unit,405,52
406,m.025d707 common.topic.notable_types,406,42
407,m.0vgkd film.film.genre,407,63
408,m.09zzb8 film.film.other_crew..film.film_crew_gig.film_crew_role,408,1097
409,m.0b787yg film.film.other_crew..film.film_crew_gig.film_crew_role,409,493
410,m.07ssc film.film.country,410,395
411,m.02r96rf film.film.other_crew..film.film_crew_gig.film_crew_role,411,1011
412,m.02jx1 film.film.country,412,5
413,m.07ww5 film.film.country,413,1
414,m.02llzg location.location.time_zones,414,183
415,m.0pqc5 government.governmental_jurisdiction.governing_officials..government.government_position_held.basic_title,415,201
416,m.0c7g7 protected_sites.listed_site.designation_as_natural_or_cultural_site..protected_sites.natural_or_cultural_site_listing.designation,416,86
417,m.048n9yh common.topic.notable_types,417,34
418,m.02lq67 olympics.olympic_event_competition.medalists..olympics.olympic_medal_honor.medal,418,34
419,m.06sks6 olympics.olympic_event_competition.olympic_games_contested,419,17
420,m.02lq5w olympics.olympic_event_competition.medalists..olympics.olympic_medal_honor.medal,420,33
421,m.06sks6 olympics.olympic_event_competition.medalists..olympics.olympic_medal_honor.olympics,421,18
422,m.02_37z location.location.time_zones,422,342
423,m.09nqf location.statistical_region.rent50_1..measurement_unit.dated_money_value.currency,423,955
424,m.09nqf location.statistical_region.rent50_3..measurement_unit.dated_money_value.currency,424,955
425,m.09nqf location.statistical_region.rent50_2..measurement_unit.dated_money_value.currency,425,955
426,m.09nqf location.statistical_region.rent50_4..measurement_unit.dated_money_value.currency,426,955
427,m.09nqf location.statistical_region.rent50_0..measurement_unit.dated_money_value.currency,427,955
428,m.0kpym_ common.topic.notable_types,428,857
429,m.07f584 location.location.time_zones,429,167
430,m.02fqwt location.location.time_zones,430,266
431,m.048n9z4 common.topic.notable_types,431,49
432,m.0345h geography.river.basin_countries,432,14
433,m.03rjj music.release.region,433,3
434,m.0154j geography.river.basin_countries,434,7
435,m.04g61 geography.river.basin_countries,435,3
436,m.0f8l9c geography.river.basin_countries,436,15
437,m.02l7c8 film.film.genre,437,655
438,m.09b3v media_common.netflix_title.netflix_genres,438,64
439,m.09g7thr award.ranked_item.appears_in_ranked_lists..award.ranking.list,439,94
440,m.06fvc sports.sports_team.colors,440,121
441,m.060c4 government.politician.government_positions_held..government.government_position_held.basic_title,441,127
442,m.0fj9f people.person.profession,442,529
443,m.01xljv7 common.topic.notable_types,443,43
444,m.04gc2 people.person.profession,444,200
445,m.0631_ people.person.religion,445,51
446,m.0b90_r media_common.netflix_title.netflix_genres,446,2
447,m.01j1n2 film.film.genre,447,25
448,m.04228s film.film.genre,448,21
449,m.06nm1 media_common.netflix_title.netflix_genres,449,15
450,m.06nm1 film.film.language,450,215
451,m.06qd3 film.film.runtime..film.film_cut.film_release_region,451,15
452,m.0b90_r film.film.country,452,11
453,m.02vzc organization.organization.headquarters..location.mailing_address.country,453,4
454,m.02l6h education.university.local_tuition..measurement_unit.dated_money_value.currency,454,15
455,m.02l6h organization.endowed_organization.endowment..measurement_unit.dated_money_value.currency,455,23
